id,device_id,user_id,timestamp,event_type,login_result,login_source,failed_attempts_last_10_min,process_name,parent_process,is_from_unknown_folder,dest_port,dest_country,bytes_sent,device_type,action,hour_of_day,is_work_hours,user_risk_baseline,is_anomalous
22,OFFICE-PC-02,user_002,2025-12-23T22:55:02.168355,login_attempt,success,local,0,,,0,0,,0,,,22,0,0.6,0
23,LAPTOP-01,user_001,2025-12-21T23:04:04.168355,device_change,,,0,,,0,0,,0,usb,added,23,0,0.4,0
24,LAPTOP-01,user_004,2025-12-23T07:56:00.168355,device_change,,,0,,,0,0,,0,usb,added,7,0,0.4,0
25,LAPTOP-02,user_001,2025-12-25T17:11:36.168355,login_attempt,success,remote,1,,,0,0,,0,,,17,1,0.2,0
26,LAPTOP-01,user_002,2025-12-21T12:42:16.168355,device_change,,,0,,,0,0,,0,usb,added,12,1,0.6,0
27,LAPTOP-01,user_001,2025-12-24T15:15:09.168355,network_connection,,,0,,,0,80,foreign,376490,,,15,1,0.4,0
28,LAPTOP-02,user_003,2025-12-23T22:20:14.168355,network_connection,,,0,,,0,80,domestic,241273,,,22,0,0.6,0
29,LAPTOP-01,user_001,2025-12-25T00:09:49.168355,network_connection,,,0,,,0,80,domestic,194738,,,0,0,0.4,0
30,LAPTOP-02,user_004,2025-12-25T15:57:12.168355,login_attempt,success,remote,0,,,0,0,,0,,,15,1,0.2,0
31,OFFICE-PC-01,user_001,2025-12-21T17:12:42.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,17,1,0.2,0
32,OFFICE-PC-01,user_004,2025-12-22T18:43:13.168355,network_connection,,,0,,,0,80,domestic,175879,,,18,1,0.2,0
33,OFFICE-PC-01,user_002,2025-12-26T08:13:18.168355,login_attempt,success,local,0,,,0,0,,0,,,8,0,0.4,0
34,LAPTOP-02,user_004,2025-12-21T18:56:56.168355,login_attempt,success,local,1,,,0,0,,0,,,18,1,0.6,0
35,LAPTOP-01,user_003,2025-12-25T07:17:20.168355,process_start,,,0,word.exe,explorer.exe,0,0,,0,,,7,0,0.2,0
36,OFFICE-PC-02,user_001,2025-12-22T17:36:54.168355,device_change,,,0,,,0,0,,0,unknown,added,17,1,0.4,0
37,LAPTOP-02,user_001,2025-12-23T19:32:03.168355,device_change,,,0,,,0,0,,0,camera,removed,19,0,0.2,0
38,LAPTOP-02,user_001,2025-12-26T00:02:54.168355,login_attempt,failure,remote,2,,,0,0,,0,,,0,0,0.6,0
39,OFFICE-PC-02,user_003,2025-12-20T21:33:49.168355,network_connection,,,0,,,0,80,domestic,313775,,,21,0,0.4,0
40,OFFICE-PC-01,user_003,2025-12-24T13:09:40.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,13,1,0.2,0
41,OFFICE-PC-02,user_001,2025-12-25T11:21:19.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,11,1,0.4,0
42,LAPTOP-01,user_003,2025-12-25T04:20:27.168355,network_connection,,,0,,,0,8080,domestic,350643,,,4,0,0.4,0
43,OFFICE-PC-01,user_004,2025-12-26T03:12:41.168355,device_change,,,0,,,0,0,,0,unknown,added,3,0,0.6,0
44,OFFICE-PC-01,user_004,2025-12-24T17:56:51.168355,network_connection,,,0,,,0,443,domestic,232819,,,17,1,0.6,0
45,LAPTOP-02,user_004,2025-12-25T23:19:38.168355,network_connection,,,0,,,0,80,domestic,353738,,,23,0,0.4,0
46,LAPTOP-02,user_002,2025-12-21T17:39:48.168355,login_attempt,success,local,3,,,0,0,,0,,,17,1,0.4,0
47,OFFICE-PC-02,user_002,2025-12-22T14:21:33.168355,login_attempt,success,local,1,,,0,0,,0,,,14,1,0.6,0
48,OFFICE-PC-02,user_001,2025-12-25T01:36:27.168355,process_start,,,0,code.exe,explorer.exe,0,0,,0,,,1,0,0.6,0
49,OFFICE-PC-01,user_004,2025-12-25T17:35:05.168355,device_change,,,0,,,0,0,,0,usb,removed,17,1,0.4,0
50,OFFICE-PC-01,user_002,2025-12-26T02:27:22.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,2,0,0.4,0
51,LAPTOP-01,user_003,2025-12-22T01:58:53.168355,login_attempt,success,local,3,,,0,0,,0,,,1,0,0.6,0
52,LAPTOP-02,user_002,2025-12-21T07:03:54.168355,device_change,,,0,,,0,0,,0,usb,added,7,0,0.4,0
53,OFFICE-PC-02,user_001,2025-12-25T06:07:33.168355,network_connection,,,0,,,0,443,domestic,283182,,,6,0,0.6,0
54,LAPTOP-02,user_004,2025-12-22T02:05:04.168355,network_connection,,,0,,,0,4444,domestic,1884495,,,2,0,0.4,1
55,LAPTOP-02,user_001,2025-12-24T12:14:15.168355,device_change,,,0,,,0,0,,0,usb,removed,12,1,0.2,1
56,LAPTOP-01,user_003,2025-12-24T03:51:02.168355,device_change,,,0,,,0,0,,0,camera,removed,3,0,0.4,0
57,LAPTOP-01,user_004,2025-12-21T17:11:36.168355,network_connection,,,0,,,0,80,foreign,36975,,,17,1,0.6,0
58,LAPTOP-01,user_001,2025-12-22T00:30:34.168355,process_start,,,0,word.exe,explorer.exe,0,0,,0,,,0,0,0.4,0
59,LAPTOP-01,user_002,2025-12-24T15:54:22.168355,login_attempt,success,local,2,,,0,0,,0,,,15,1,0.2,0
60,LAPTOP-01,user_003,2025-12-25T15:35:57.168355,process_start,,,0,chrome.exe,explorer.exe,0,0,,0,,,15,1,0.6,0
61,LAPTOP-02,user_001,2025-12-26T03:32:16.168355,login_attempt,success,local,2,,,0,0,,0,,,3,0,0.6,0
62,OFFICE-PC-02,user_003,2025-12-21T10:18:54.168355,device_change,,,0,,,0,0,,0,camera,added,10,1,0.4,1
63,OFFICE-PC-01,user_004,2025-12-25T22:04:44.168355,network_connection,,,0,,,0,8080,foreign,407135,,,22,0,0.4,0
64,OFFICE-PC-02,user_004,2025-12-26T11:54:53.168355,login_attempt,success,remote,1,,,0,0,,0,,,11,1,0.4,0
65,OFFICE-PC-02,user_003,2025-12-21T09:31:53.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,9,1,0.4,0
66,OFFICE-PC-01,user_003,2025-12-25T16:33:50.168355,process_start,,,0,chrome.exe,explorer.exe,0,0,,0,,,16,1,0.2,0
67,OFFICE-PC-02,user_004,2025-12-25T01:22:03.168355,device_change,,,0,,,0,0,,0,camera,added,1,0,0.2,0
68,OFFICE-PC-01,user_002,2025-12-24T15:52:52.168355,network_connection,,,0,,,0,443,foreign,279355,,,15,1,0.4,0
69,OFFICE-PC-02,user_003,2025-12-23T16:06:50.168355,process_start,,,0,chrome.exe,explorer.exe,0,0,,0,,,16,1,0.6,0
70,LAPTOP-02,user_003,2025-12-21T17:12:21.168355,process_start,,,0,word.exe,explorer.exe,0,0,,0,,,17,1,0.6,0
71,OFFICE-PC-02,user_003,2025-12-26T12:26:06.168355,login_attempt,success,remote,1,,,0,0,,0,,,12,1,0.4,0
72,LAPTOP-02,user_003,2025-12-21T16:11:41.168355,login_attempt,success,local,3,,,0,0,,0,,,16,1,0.2,0
73,LAPTOP-01,user_003,2025-12-24T09:05:54.168355,login_attempt,success,remote,0,,,0,0,,0,,,9,1,0.2,0
74,OFFICE-PC-02,user_004,2025-12-21T12:18:16.168355,process_start,,,0,powershell.exe,cmd.exe,1,0,,0,,,12,1,0.4,1
75,LAPTOP-01,user_002,2025-12-21T11:25:59.168355,process_start,,,0,code.exe,explorer.exe,0,0,,0,,,11,1,0.4,0
76,OFFICE-PC-02,user_003,2025-12-25T06:57:09.168355,login_attempt,failure,local,1,,,0,0,,0,,,6,0,0.4,0
77,LAPTOP-01,user_002,2025-12-21T23:12:37.168355,device_change,,,0,,,0,0,,0,camera,removed,23,0,0.4,0
78,LAPTOP-01,user_002,2025-12-23T15:56:17.168355,login_attempt,success,remote,1,,,0,0,,0,,,15,1,0.4,0
79,LAPTOP-01,user_002,2025-12-25T22:35:50.168355,login_attempt,success,remote,2,,,0,0,,0,,,22,0,0.4,0
80,LAPTOP-01,user_004,2025-12-26T03:21:58.168355,device_change,,,0,,,0,0,,0,camera,added,3,0,0.6,0
81,LAPTOP-01,user_004,2025-12-26T04:15:49.168355,process_start,,,0,powershell.exe,cmd.exe,1,0,,0,,,4,0,0.6,1
82,LAPTOP-01,user_003,2025-12-24T19:26:21.168355,device_change,,,0,,,0,0,,0,camera,added,19,0,0.6,0
83,OFFICE-PC-02,user_004,2025-12-21T08:59:59.168355,login_attempt,success,remote,3,,,0,0,,0,,,8,0,0.6,0
84,OFFICE-PC-02,user_003,2025-12-26T06:30:21.168355,device_change,,,0,,,0,0,,0,usb,removed,6,0,0.4,0
85,OFFICE-PC-01,user_001,2025-12-24T10:29:33.168355,device_change,,,0,,,0,0,,0,camera,added,10,1,0.2,0
86,OFFICE-PC-01,user_004,2025-12-26T08:25:36.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,8,0,0.4,0
87,OFFICE-PC-02,user_001,2025-12-21T14:16:24.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,14,1,0.6,0
88,LAPTOP-01,user_004,2025-12-21T01:31:31.168355,login_attempt,success,local,3,,,0,0,,0,,,1,0,0.6,0
89,OFFICE-PC-01,user_003,2025-12-24T09:07:48.168355,process_start,,,0,code.exe,explorer.exe,0,0,,0,,,9,1,0.2,0
90,LAPTOP-02,user_001,2025-12-23T06:59:32.168355,network_connection,,,0,,,0,80,domestic,381659,,,6,0,0.4,0
91,OFFICE-PC-02,user_002,2025-12-24T11:07:55.168355,device_change,,,0,,,0,0,,0,camera,removed,11,1,0.2,0
92,LAPTOP-02,user_004,2025-12-22T06:39:53.168355,device_change,,,0,,,0,0,,0,camera,added,6,0,0.4,0
93,LAPTOP-01,user_002,2025-12-25T11:59:28.168355,device_change,,,0,,,0,0,,0,usb,removed,11,1,0.2,0
94,LAPTOP-02,user_004,2025-12-25T21:42:03.168355,network_connection,,,0,,,0,443,foreign,364176,,,21,0,0.4,0
95,LAPTOP-01,user_003,2025-12-26T11:01:53.168355,device_change,,,0,,,0,0,,0,unknown,added,11,1,0.6,0
96,LAPTOP-01,user_002,2025-12-26T15:35:51.168355,login_attempt,success,local,0,,,0,0,,0,,,15,1,0.4,0
97,LAPTOP-02,user_003,2025-12-20T18:58:23.168355,network_connection,,,0,,,0,3389,foreign,1721127,,,18,1,0.2,1
98,OFFICE-PC-02,user_002,2025-12-21T22:43:12.168355,process_start,,,0,code.exe,explorer.exe,0,0,,0,,,22,0,0.6,0
99,LAPTOP-02,user_002,2025-12-24T13:54:02.168355,login_attempt,success,remote,2,,,0,0,,0,,,13,1,0.6,0
100,LAPTOP-02,user_001,2025-12-24T05:14:52.168355,device_change,,,0,,,0,0,,0,unknown,removed,5,0,0.4,0
101,OFFICE-PC-01,user_002,2025-12-24T08:43:48.168355,network_connection,,,0,,,0,8080,domestic,367623,,,8,0,0.4,0
102,LAPTOP-01,user_004,2025-12-22T18:14:28.168355,login_attempt,failure,remote,2,,,0,0,,0,,,18,1,0.2,0
103,OFFICE-PC-01,user_002,2025-12-26T00:16:49.168355,process_start,,,0,chrome.exe,explorer.exe,0,0,,0,,,0,0,0.6,0
104,LAPTOP-01,user_003,2025-12-23T19:14:56.168355,login_attempt,failure,remote,3,,,0,0,,0,,,19,0,0.2,0
105,LAPTOP-02,user_002,2025-12-25T05:11:05.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,5,0,0.4,0
106,OFFICE-PC-01,user_003,2025-12-21T07:41:42.168355,process_start,,,0,code.exe,explorer.exe,0,0,,0,,,7,0,0.6,0
107,OFFICE-PC-01,user_001,2025-12-23T17:54:07.168355,network_connection,,,0,,,0,8080,foreign,353500,,,17,1,0.4,0
108,OFFICE-PC-02,user_003,2025-12-21T14:52:03.168355,network_connection,,,0,,,0,5555,foreign,1030302,,,14,1,0.6,1
109,OFFICE-PC-02,user_003,2025-12-26T03:44:41.168355,login_attempt,failure,remote,14,,,0,0,,0,,,3,0,0.2,1
110,LAPTOP-01,user_002,2025-12-24T22:02:02.168355,device_change,,,0,,,0,0,,0,unknown,added,22,0,0.4,0
111,LAPTOP-01,user_004,2025-12-25T06:54:35.168355,process_start,,,0,code.exe,explorer.exe,0,0,,0,,,6,0,0.4,0
112,LAPTOP-02,user_003,2025-12-21T15:01:07.168355,network_connection,,,0,,,0,80,domestic,145641,,,15,1,0.2,0
113,LAPTOP-01,user_004,2025-12-21T14:51:14.168355,login_attempt,success,remote,1,,,0,0,,0,,,14,1,0.2,0
114,LAPTOP-02,user_001,2025-12-25T00:14:46.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,0,0,0.2,0
115,LAPTOP-01,user_003,2025-12-21T22:11:49.168355,login_attempt,success,local,1,,,0,0,,0,,,22,0,0.2,0
116,OFFICE-PC-01,user_002,2025-12-25T03:38:44.168355,process_start,,,0,code.exe,explorer.exe,0,0,,0,,,3,0,0.6,0
117,LAPTOP-01,user_001,2025-12-24T08:26:56.168355,login_attempt,success,local,0,,,0,0,,0,,,8,0,0.6,0
118,OFFICE-PC-01,user_004,2025-12-25T17:41:03.168355,device_change,,,0,,,0,0,,0,unknown,added,17,1,0.4,0
119,OFFICE-PC-02,user_001,2025-12-21T04:15:42.168355,network_connection,,,0,,,0,5555,domestic,3227853,,,4,0,0.4,1
120,OFFICE-PC-01,user_004,2025-12-25T13:04:39.168355,login_attempt,success,local,3,,,0,0,,0,,,13,1,0.4,0
121,LAPTOP-02,user_004,2025-12-23T08:02:59.168355,network_connection,,,0,,,0,443,domestic,349708,,,8,0,0.4,0
122,OFFICE-PC-01,user_002,2025-12-26T08:41:38.168355,login_attempt,success,remote,1,,,0,0,,0,,,8,0,0.6,0
123,LAPTOP-01,user_003,2025-12-25T21:03:55.168355,device_change,,,0,,,0,0,,0,unknown,added,21,0,0.4,0
124,OFFICE-PC-01,user_003,2025-12-21T12:09:46.168355,device_change,,,0,,,0,0,,0,usb,added,12,1,0.4,0
125,OFFICE-PC-01,user_001,2025-12-23T11:52:24.168355,login_attempt,success,remote,0,,,0,0,,0,,,11,1,0.2,0
126,OFFICE-PC-01,user_003,2025-12-23T04:37:44.168355,device_change,,,0,,,0,0,,0,usb,added,4,0,0.6,0
127,LAPTOP-01,user_001,2025-12-26T09:50:57.168355,network_connection,,,0,,,0,80,domestic,164387,,,9,1,0.6,0
128,OFFICE-PC-01,user_001,2025-12-20T21:48:21.168355,login_attempt,success,remote,3,,,0,0,,0,,,21,0,0.6,0
129,OFFICE-PC-02,user_004,2025-12-23T00:26:05.168355,device_change,,,0,,,0,0,,0,usb,removed,0,0,0.6,0
130,OFFICE-PC-02,user_003,2025-12-21T01:03:11.168355,process_start,,,0,encryptor.exe,unknown.exe,1,0,,0,,,1,0,0.2,1
131,LAPTOP-02,user_003,2025-12-23T03:44:33.168355,device_change,,,0,,,0,0,,0,usb,added,3,0,0.4,0
132,LAPTOP-02,user_003,2025-12-21T00:33:20.168355,login_attempt,failure,remote,19,,,0,0,,0,,,0,0,0.4,1
133,OFFICE-PC-02,user_004,2025-12-26T14:03:51.168355,login_attempt,failure,local,3,,,0,0,,0,,,14,1,0.6,0
134,OFFICE-PC-01,user_001,2025-12-23T20:53:00.168355,login_attempt,success,remote,2,,,0,0,,0,,,20,0,0.2,0
135,OFFICE-PC-01,user_002,2025-12-21T10:17:40.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,10,1,0.4,0
136,LAPTOP-02,user_002,2025-12-20T21:53:45.168355,process_start,,,0,chrome.exe,explorer.exe,0,0,,0,,,21,0,0.2,0
137,OFFICE-PC-02,user_004,2025-12-25T12:06:16.168355,network_connection,,,0,,,0,8080,domestic,80145,,,12,1,0.4,0
138,LAPTOP-01,user_004,2025-12-24T13:57:23.168355,login_attempt,success,local,2,,,0,0,,0,,,13,1,0.4,0
139,OFFICE-PC-02,user_001,2025-12-21T05:30:51.168355,login_attempt,success,remote,3,,,0,0,,0,,,5,0,0.6,0
140,LAPTOP-01,user_004,2025-12-25T13:49:53.168355,process_start,,,0,chrome.exe,explorer.exe,0,0,,0,,,13,1,0.4,0
141,LAPTOP-01,user_003,2025-12-25T20:10:14.168355,process_start,,,0,code.exe,explorer.exe,0,0,,0,,,20,0,0.4,0
142,LAPTOP-02,user_003,2025-12-23T03:01:59.168355,login_attempt,success,remote,0,,,0,0,,0,,,3,0,0.4,0
143,LAPTOP-01,user_004,2025-12-23T02:24:27.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,2,0,0.2,0
144,LAPTOP-02,user_003,2025-12-23T14:22:15.168355,login_attempt,success,remote,2,,,0,0,,0,,,14,1,0.2,0
145,LAPTOP-01,user_004,2025-12-25T04:38:56.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,4,0,0.4,0
146,LAPTOP-02,user_002,2025-12-21T21:41:51.168355,login_attempt,success,local,2,,,0,0,,0,,,21,0,0.6,0
147,LAPTOP-02,user_004,2025-12-21T22:49:26.168355,process_start,,,0,code.exe,explorer.exe,0,0,,0,,,22,0,0.2,0
148,OFFICE-PC-02,user_003,2025-12-26T16:53:01.168355,device_change,,,0,,,0,0,,0,usb,added,16,1,0.4,0
149,OFFICE-PC-02,user_002,2025-12-23T15:14:01.168355,network_connection,,,0,,,0,443,foreign,277540,,,15,1,0.4,0
150,LAPTOP-02,user_002,2025-12-24T22:32:49.168355,device_change,,,0,,,0,0,,0,usb,added,22,0,0.6,1
151,LAPTOP-01,user_003,2025-12-20T22:55:01.168355,process_start,,,0,code.exe,explorer.exe,0,0,,0,,,22,0,0.2,0
152,LAPTOP-02,user_004,2025-12-22T18:03:36.168355,network_connection,,,0,,,0,80,domestic,43784,,,18,1,0.4,0
153,LAPTOP-02,user_001,2025-12-22T21:31:18.168355,process_start,,,0,word.exe,explorer.exe,0,0,,0,,,21,0,0.2,0
154,OFFICE-PC-01,user_004,2025-12-25T22:26:18.168355,login_attempt,failure,local,2,,,0,0,,0,,,22,0,0.2,0
155,LAPTOP-02,user_004,2025-12-21T02:52:52.168355,process_start,,,0,code.exe,explorer.exe,0,0,,0,,,2,0,0.6,0
156,OFFICE-PC-02,user_001,2025-12-21T09:16:07.168355,process_start,,,0,powershell.exe,cmd.exe,1,0,,0,,,9,1,0.2,1
157,OFFICE-PC-01,user_004,2025-12-21T12:59:48.168355,process_start,,,0,chrome.exe,explorer.exe,0,0,,0,,,12,1,0.6,0
158,OFFICE-PC-01,user_001,2025-12-25T11:10:23.168355,login_attempt,success,remote,0,,,0,0,,0,,,11,1,0.6,0
159,OFFICE-PC-02,user_003,2025-12-23T16:38:55.168355,network_connection,,,0,,,0,80,foreign,345511,,,16,1,0.6,0
160,LAPTOP-01,user_003,2025-12-21T19:00:07.168355,process_start,,,0,code.exe,explorer.exe,0,0,,0,,,19,0,0.6,0
161,OFFICE-PC-02,user_002,2025-12-21T20:23:22.168355,login_attempt,success,local,1,,,0,0,,0,,,20,0,0.2,0
162,OFFICE-PC-01,user_003,2025-12-25T06:30:07.168355,login_attempt,success,local,2,,,0,0,,0,,,6,0,0.4,0
163,LAPTOP-01,user_003,2025-12-22T21:28:56.168355,device_change,,,0,,,0,0,,0,unknown,removed,21,0,0.4,0
164,OFFICE-PC-01,user_002,2025-12-24T16:08:56.168355,network_connection,,,0,,,0,80,foreign,223560,,,16,1,0.2,0
165,OFFICE-PC-02,user_002,2025-12-25T02:57:39.168355,network_connection,,,0,,,0,443,domestic,316947,,,2,0,0.6,0
166,OFFICE-PC-02,user_002,2025-12-26T08:00:01.168355,network_connection,,,0,,,0,5555,foreign,2803137,,,8,0,0.6,1
167,LAPTOP-01,user_001,2025-12-26T14:02:56.168355,process_start,,,0,chrome.exe,explorer.exe,0,0,,0,,,14,1,0.2,0
168,OFFICE-PC-02,user_001,2025-12-21T19:53:22.168355,network_connection,,,0,,,0,443,foreign,17979,,,19,0,0.6,0
169,LAPTOP-02,user_004,2025-12-23T05:06:21.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,5,0,0.4,0
170,OFFICE-PC-01,user_003,2025-12-21T20:39:20.168355,device_change,,,0,,,0,0,,0,unknown,added,20,0,0.4,0
171,OFFICE-PC-01,user_004,2025-12-22T12:56:17.168355,device_change,,,0,,,0,0,,0,usb,added,12,1,0.2,0
172,LAPTOP-01,user_004,2025-12-22T16:05:38.168355,network_connection,,,0,,,0,8080,domestic,373003,,,16,1,0.2,0
173,OFFICE-PC-01,user_003,2025-12-22T16:23:32.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,16,1,0.6,0
174,LAPTOP-02,user_001,2025-12-21T21:53:23.168355,network_connection,,,0,,,0,8080,foreign,194415,,,21,0,0.4,0
175,LAPTOP-02,user_001,2025-12-21T03:03:18.168355,device_change,,,0,,,0,0,,0,camera,added,3,0,0.2,0
176,OFFICE-PC-01,user_001,2025-12-24T08:21:06.168355,process_start,,,0,word.exe,explorer.exe,0,0,,0,,,8,0,0.4,0
177,LAPTOP-01,user_001,2025-12-24T21:56:43.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,21,0,0.6,0
178,OFFICE-PC-01,user_001,2025-12-23T00:18:08.168355,network_connection,,,0,,,0,8080,foreign,49983,,,0,0,0.6,0
179,LAPTOP-02,user_002,2025-12-22T15:17:19.168355,network_connection,,,0,,,0,8080,domestic,433661,,,15,1,0.2,0
180,LAPTOP-01,user_001,2025-12-26T11:54:14.168355,device_change,,,0,,,0,0,,0,unknown,added,11,1,0.4,0
181,OFFICE-PC-01,user_003,2025-12-24T01:29:24.168355,network_connection,,,0,,,0,443,domestic,362031,,,1,0,0.2,0
182,LAPTOP-02,user_004,2025-12-24T09:06:46.168355,process_start,,,0,excel.exe,explorer.exe,0,0,,0,,,9,1,0.6,0
183,OFFICE-PC-01,user_003,2025-12-23T22:25:56.168355,login_attempt,success,remote,0,,,0,0,,0,,,22,0,0.4,0
184,OFFICE-PC-02,user_002,2025-12-21T20:40:51.168355,device_change,,,0,,,0,0,,0,usb,added,20,0,0.4,0
185,OFFICE-PC-01,user_002,2025-12-22T09:10:02.168355,network_connection,,,0,,,0,443,domestic,48211,,,9,1,0.4,0
186,OFFICE-PC-02,user_002,2025-12-22T11:59:36.168355,device_change,,,0,,,0,0,,0,unknown,removed,11,1,0.4,1
187,LAPTOP-01,user_001,2025-12-23T22:33:49.168355,device_change,,,0,,,0,0,,0,camera,added,22,0,0.4,0
188,LAPTOP-01,user_002,2025-12-23T10:55:37.168355,device_change,,,0,,,0,0,,0,unknown,removed,10,1,0.6,0
189,LAPTOP-01,user_002,2025-12-21T06:01:23.168355,network_connection,,,0,,,0,80,domestic,316864,,,6,0,0.6,0
190,OFFICE-PC-02,user_001,2025-12-20T18:46:18.168355,device_change,,,0,,,0,0,,0,unknown,removed,18,1,0.2,0
191,LAPTOP-02,user_003,2025-12-25T03:47:58.168355,network_connection,,,0,,,0,8080,domestic,266979,,,3,0,0.6,0
192,OFFICE-PC-02,user_003,2025-12-23T18:00:54.168355,device_change,,,0,,,0,0,,0,unknown,removed,18,1,0.6,0
193,LAPTOP-01,user_004,2025-12-23T14:28:22.168355,process_start,,,0,chrome.exe,explorer.exe,0,0,,0,,,14,1,0.6,0
194,OFFICE-PC-02,user_002,2025-12-25T14:24:12.168355,device_change,,,0,,,0,0,,0,usb,added,14,1,0.2,0
195,LAPTOP-01,user_002,2025-12-21T07:57:59.168355,process_start,,,0,code.exe,explorer.exe,0,0,,0,,,7,0,0.6,0
196,OFFICE-PC-02,user_001,2025-12-25T22:10:46.168355,device_change,,,0,,,0,0,,0,unknown,removed,22,0,0.4,0
197,LAPTOP-02,user_004,2025-12-25T04:11:55.168355,network_connection,,,0,,,0,8080,domestic,101801,,,4,0,0.2,0
198,OFFICE-PC-01,user_003,2025-12-22T03:26:51.168355,device_change,,,0,,,0,0,,0,camera,removed,3,0,0.4,0
199,OFFICE-PC-01,user_003,2025-12-21T12:21:07.168355,device_change,,,0,,,0,0,,0,camera,added,12,1,0.4,0
200,LAPTOP-01,user_003,2025-12-25T20:00:32.168355,network_connection,,,0,,,0,8080,domestic,113190,,,20,0,0.2,0
201,OFFICE-PC-01,user_003,2025-12-21T21:17:20.168355,process_start,,,0,chrome.exe,explorer.exe,0,0,,0,,,21,0,0.6,0
202,LAPTOP-02,user_002,2025-12-20T21:03:54.168355,login_attempt,success,local,0,,,0,0,,0,,,21,0,0.6,0
203,LAPTOP-02,user_004,2025-12-26T09:08:14.168355,network_connection,,,0,,,0,443,domestic,339636,,,9,1,0.2,0
204,LAPTOP-01,user_002,2025-12-25T17:24:27.168355,process_start,,,0,code.exe,explorer.exe,0,0,,0,,,17,1,0.2,0
